Carrier Code,was_delayed,Date,Flight Number,Tail Number,Destination Airport,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
US,0,1/01/2014,454,N669AW,PHX,353,359,9,27,9,0,6,0,0
US,0,1/01/2014,457,N804AW,PHX,366,360,-4,16,0,0,0,0,0
US,0,1/01/2014,538,N809AW,PHX,347,356,-6,14,0,0,0,0,0
US,0,1/01/2014,561,N648AW,PHX,359,351,2,17,0,0,0,0,0
US,0,1/01/2014,657,N668AW,CLT,144,138,-2,13,0,0,0,0,0
US,0,1/01/2014,722,N705UW,PHL,92,86,-3,17,0,0,0,0,0
US,0,1/01/2014,1775,N949UW,PHL,95,96,4,23,0,0,0,0,0
US,0,1/01/2014,1788,N177US,CLT,142,154,3,20,3,0,12,0,0
US,0,1/01/2014,1789,N967UW,PHL,93,90,-1,17,0,0,0,0,0
US,0,1/01/2014,1799,N155UW,CLT,141,147,14,15,14,0,6,0,0
US,1,1/01/2014,1801,N702UW,CLT,139,137,46,10,44,0,0,0,0
US,0,1/01/2014,1819,N961UW,PHL,91,84,-4,16,0,0,0,0,0
US,0,1/01/2014,1835,N127UW,PHL,99,79,-4,17,0,0,0,0,0
US,0,1/01/2014,1862,N170US,CLT,147,163,-3,34,0,0,0,0,0
US,0,1/01/2014,1866,N104UW,CLT,146,142,-5,16,0,0,0,0,0
US,0,1/01/2014,1886,N948UW,PHL,85,82,3,15,0,0,0,0,0
US,0,1/01/2014,1938,N765US,CLT,142,149,-2,19,0,0,0,0,0
US,0,1/01/2014,2083,N180US,CLT,141,143,3,12,0,0,0,0,0
US,0,1/01/2014,2111,N951UW,DCA,91,96,-7,13,0,0,0,0,0
US,0,1/01/2014,2121,N951UW,DCA,97,100,-3,14,0,0,0,0,0
US,0,1/01/2014,2131,N951UW,DCA,90,102,-6,23,0,0,0,0,0
US,0,1/02/2014,454,N676AW,PHX,353,377,14,41,0,14,24,0,0
US,0,1/02/2014,457,N838AW,PHX,366,385,-3,48,0,0,16,0,0
US,0,1/02/2014,538,N830AW,PHX,347,397,-6,63,0,0,44,0,0
US,0,1/02/2014,561,N657AW,PHX,359,383,6,59,0,6,24,0,0
US,0,1/02/2014,657,N652AW,CLT,144,187,1,41,0,1,43,0,0
US,1,1/02/2014,722,N967UW,PHL,93,0,28,0,0,0,0,0,0
US,0,1/02/2014,1775,N952UW,PHL,95,138,-5,51,0,0,38,0,0
US,1,1/02/2014,1788,N568UW,CLT,142,202,30,48,0,22,60,0,8
US,0,1/02/2014,1789,N965UW,PHL,93,137,0,57,0,0,44,0,0
US,0,1/02/2014,1799,N561UW,CLT,141,182,-2,37,0,0,39,0,0
US,1,1/02/2014,1819,N948UW,PHL,91,108,28,33,0,8,17,0,20
US,0,1/02/2014,1833,N950UW,PHL,84,111,-2,36,0,0,25,0,0
US,0,1/02/2014,1835,N121UW,PHL,99,122,0,46,0,0,23,0,0
US,0,1/02/2014,1862,N152UW,CLT,147,179,2,41,2,0,32,0,0
US,0,1/02/2014,1886,,PHL,85,0,0,0,0,0,0,0,0
US,1,1/02/2014,1904,N751UW,CLT,134,186,51,42,51,0,52,0,0
