CarrierCode,Date,FlightNumber,TailNumber,DestinationAirport,ScheduledElapsed time ,ActualElapsedTime,DepartureDelay,TaxiOutTime,DelayCarrier ,DelayWeather,DelayNationalAviationSystem ,DelaySecurity ,DelayLateAircraftArrival ,Was_delayed
US,1/01/2013,225,N650AW,PHX,352,338,32,16,1,0,0,0,17,TRUE
US,1/01/2013,280,N806AW,PHX,369,384,-3,14,0,0,0,0,0,FALSE
US,1/01/2013,303,N656AW,CLT,143,148,0,16,0,0,0,0,0,FALSE
US,1/01/2013,417,N673AW,PHX,355,338,-5,12,0,0,0,0,0,FALSE
US,1/01/2013,604,N662AW,PHX,351,369,-5,15,0,0,0,0,0,FALSE
US,1/01/2013,722,N948UW,PHL,93,103,-6,12,0,0,0,0,0,FALSE
US,1/01/2013,754,N952UW,PHL,103,106,-7,13,0,0,0,0,0,FALSE
US,1/01/2013,1021,N559UW,CLT,146,171,-4,38,0,0,21,0,0,FALSE
US,1/01/2013,1225,N196UW,CLT,141,159,-5,13,0,0,0,0,0,FALSE
US,1/01/2013,1419,N112US,PHL,100,88,-5,17,0,0,0,0,0,FALSE
US,1/01/2013,1475,N110UW,CLT,142,162,-3,17,0,0,17,0,0,FALSE
US,1/01/2013,1521,N561UW,CLT,146,153,0,16,0,0,0,0,0,FALSE
US,1/01/2013,1543,N537UW,CLT,142,169,2,23,2,0,27,0,0,FALSE
US,1/01/2013,1559,N703UW,PHL,91,80,-5,13,0,0,0,0,0,FALSE
US,1/01/2013,1635,N953UW,PHL,93,110,1,15,1,0,17,0,0,FALSE
US,1/01/2013,1667,N744P,CLT,139,164,-8,17,0,0,17,0,0,FALSE
US,1/01/2013,1727,N948UW,PHL,90,97,-6,19,0,0,0,0,0,FALSE
US,1/01/2013,1819,N950UW,PHL,91,91,-6,13,0,0,0,0,0,FALSE
US,1/01/2013,1827,N961UW,PHL,95,93,-5,14,0,0,0,0,0,FALSE
US,1/01/2013,1981,N764US,CLT,140,174,0,28,0,0,34,0,0,FALSE
US,1/01/2013,2031,N750UW,DCA,93,94,0,16,0,0,0,0,0,FALSE
US,1/01/2013,2035,N756US,DCA,92,96,-7,9,0,0,0,0,0,FALSE
US,1/01/2013,2041,N750UW,DCA,92,101,-3,16,0,0,0,0,0,FALSE
US,1/01/2013,2125,N957UW,LGA,75,63,-6,17,0,0,0,0,0,FALSE
US,1/01/2014,454,N669AW,PHX,353,359,9,27,9,0,6,0,0,FALSE
US,1/01/2014,457,N804AW,PHX,366,360,-4,16,0,0,0,0,0,FALSE
US,1/01/2014,538,N809AW,PHX,347,356,-6,14,0,0,0,0,0,FALSE
US,1/01/2014,561,N648AW,PHX,359,351,2,17,0,0,0,0,0,FALSE
US,1/01/2014,657,N668AW,CLT,144,138,-2,13,0,0,0,0,0,FALSE
US,1/01/2014,722,N705UW,PHL,92,86,-3,17,0,0,0,0,0,FALSE
US,1/01/2014,1775,N949UW,PHL,95,96,4,23,0,0,0,0,0,FALSE
US,1/01/2014,1788,N177US,CLT,142,154,3,20,3,0,12,0,0,FALSE
US,1/01/2014,1789,N967UW,PHL,93,90,-1,17,0,0,0,0,0,FALSE
US,1/01/2014,1799,N155UW,CLT,141,147,14,15,14,0,6,0,0,FALSE
US,1/01/2014,1801,N702UW,CLT,139,137,46,10,44,0,0,0,0,FALSE
US,1/01/2014,1819,N961UW,PHL,91,84,-4,16,0,0,0,0,0,FALSE
US,1/01/2014,1835,N127UW,PHL,99,79,-4,17,0,0,0,0,0,FALSE
US,1/01/2014,1862,N170US,CLT,147,163,-3,34,0,0,0,0,0,FALSE
US,1/01/2014,1866,N104UW,CLT,146,142,-5,16,0,0,0,0,0,FALSE
US,1/01/2014,1886,N948UW,PHL,85,82,3,15,0,0,0,0,0,FALSE
US,1/01/2014,1938,N765US,CLT,142,149,-2,19,0,0,0,0,0,FALSE
